obj1_feat_0_binary,obj1_feat_1_nominal,obj1_feat_2_ordinal,obj2_feat_0_binary,obj2_feat_1_nominal,collision
1,1,1,1,4,False
0,3,2,1,4,False
0,1,2,0,1,False
1,2,3,1,4,False
0,4,3,0,3,False
1,1,3,1,2,False
0,1,0,0,2,False
0,2,1,0,2,False
0,1,1,0,1,False
0,2,4,1,2,False
0,4,2,0,3,False
0,2,1,0,1,False
0,3,0,1,4,False
0,3,4,1,1,False
1,1,2,1,2,False
0,2,0,0,4,False
1,2,4,0,1,False
1,2,1,1,1,False
0,3,2,1,1,False
1,4,1,1,4,True
0,4,2,0,1,False
1,2,3,1,4,False
0,4,0,1,4,False
1,2,4,1,1,False
1,2,3,1,4,False
0,1,0,1,3,False
1,3,4,1,2,False
1,1,2,1,1,True
1,4,4,0,2,False
0,1,0,1,1,False
0,1,2,0,4,False
0,1,0,1,4,False
0,2,4,0,3,False
1,3,4,1,2,False
1,1,3,0,1,False
0,3,4,0,3,False
1,3,3,1,1,False
1,2,2,0,4,False
1,1,4,0,2,False
1,3,4,0,1,False
1,3,3,0,3,False
1,1,4,0,2,False
1,4,2,1,2,False
0,4,2,0,2,False
0,3,2,1,2,False
0,3,0,1,1,False
0,3,4,1,3,False
1,3,0,1,1,False
0,3,1,0,2,False
0,4,0,0,4,False
1,4,2,1,4,True
1,3,0,1,1,False
0,2,0,0,4,False
0,3,3,0,1,False
1,2,2,1,1,False
0,2,2,1,1,False
0,1,4,1,2,False
1,4,2,1,2,False
1,2,2,0,1,False
1,3,1,1,4,False
0,1,2,0,4,False
1,4,1,1,1,False
0,3,2,0,4,False
0,4,1,0,3,False
0,2,4,0,4,False
1,4,1,1,1,False
1,1,3,1,1,True
0,4,1,1,3,False
1,4,0,1,3,False
1,2,2,0,4,False
1,3,3,0,3,False
1,3,3,1,1,False
1,3,1,1,2,False
1,2,2,0,1,False
0,2,0,1,1,False
0,4,3,0,3,False
1,1,2,0,2,False
1,4,0,1,2,False
1,2,1,0,2,False
1,3,1,0,1,False
0,1,2,0,1,False
1,3,1,1,1,False
0,2,1,0,2,False
1,2,2,1,1,False
1,3,2,0,3,False
1,2,4,1,4,False
1,3,4,1,2,False
1,2,3,1,4,False
0,3,1,0,2,False
1,1,3,0,1,False
0,1,1,0,3,False
1,1,2,1,1,True
1,1,1,1,4,False
1,1,3,1,3,False
0,3,2,0,2,False
1,2,1,0,3,False
1,1,0,1,2,False
1,2,4,1,2,True
0,2,2,0,1,False
0,3,3,1,1,False
1,3,1,1,1,False
1,1,1,0,2,False
1,2,4,1,4,False
0,4,0,0,2,False
1,2,1,1,1,False
0,1,1,0,2,False
1,3,4,0,4,False
0,1,4,1,4,False
1,1,4,1,3,False
0,4,0,1,3,False
0,3,3,1,1,False
0,3,2,1,1,False
1,2,4,1,4,False
1,2,3,0,4,False
0,2,4,0,4,False
0,1,1,1,2,False
0,2,4,0,4,False
1,2,3,0,1,False
1,4,1,0,1,False
1,1,0,1,3,False
0,1,2,1,1,False
1,3,3,1,1,False
1,2,2,0,1,False
0,3,3,0,4,False
0,1,4,1,3,False
0,1,1,0,1,False
0,1,1,0,2,False
0,1,1,0,4,False
1,2,1,0,2,False
1,4,3,1,4,True
0,1,4,0,1,False
1,1,4,0,2,False
0,3,1,0,2,False
1,3,3,1,1,False
1,1,0,1,4,False
1,4,1,0,2,False
0,4,1,0,3,False
1,3,4,1,4,False
1,4,4,0,3,False
0,3,4,1,4,False
1,1,4,1,3,False
1,2,2,1,1,False
1,2,1,1,1,False
1,3,3,1,3,True
1,3,3,0,1,False
1,4,0,1,4,True
0,4,1,0,4,False
0,4,0,0,3,False
1,3,3,1,2,False
0,1,2,0,2,False
0,3,1,1,1,False
1,3,2,1,3,True
0,3,4,0,2,False
0,4,1,1,4,False
1,1,4,0,4,False
1,3,4,0,4,False
0,2,3,0,3,False
0,1,1,0,3,False
1,3,2,0,1,False
0,2,2,1,1,False
1,3,0,1,1,False
1,3,3,1,2,False
1,2,4,1,2,True
0,4,1,0,1,False
0,3,1,1,1,False
0,4,4,0,3,False
1,3,4,1,3,True
1,2,0,1,1,False
1,1,4,1,4,False
1,3,3,0,2,False
1,1,0,0,1,False
1,1,1,0,1,False
1,2,2,0,1,False
1,4,2,1,2,False
0,3,3,1,3,False
1,2,1,0,4,False
1,4,2,1,2,False
1,2,0,1,1,False
0,3,3,1,2,False
1,4,3,1,3,False
1,3,0,1,3,True
1,3,0,0,4,False
1,3,4,0,4,False
0,1,1,0,1,False
1,2,4,1,4,False
0,2,3,0,3,False
0,3,2,1,4,False
0,2,3,0,3,False
1,3,1,0,2,False
0,4,2,1,2,False
1,2,4,0,4,False
1,3,3,1,2,False
0,3,1,1,3,False
1,4,3,1,2,False
1,4,3,0,1,False
1,4,0,1,1,False
0,1,0,1,1,False
1,4,4,0,1,False
1,1,2,1,1,True
1,2,3,1,2,True
1,4,0,1,2,False
1,4,2,0,2,False
0,4,0,1,1,False
1,3,3,0,3,False
1,3,1,1,3,True
0,2,1,0,2,False
1,3,3,0,2,False
0,1,2,1,4,False
1,1,4,0,2,False
1,4,3,0,3,False
1,1,4,1,3,False
0,1,1,1,3,False
1,3,2,1,3,True
1,3,1,0,1,False
0,4,1,1,2,False
1,4,1,0,4,False
1,2,0,1,2,True
0,3,0,1,3,False
0,3,4,0,1,False
0,1,1,1,1,False
0,3,1,1,4,False
1,3,2,0,2,False
0,4,4,1,4,False
0,1,1,0,3,False
0,2,3,1,1,False
0,2,0,1,2,False
0,3,3,1,2,False
1,2,4,1,3,False
0,1,2,0,3,False
1,4,1,0,1,False
0,1,4,0,2,False
1,2,1,1,2,True
1,1,4,0,1,False
1,1,1,0,2,False
1,1,0,1,2,False
0,1,2,1,2,False
1,3,2,1,4,False
0,3,4,0,1,False
1,2,1,0,4,False
1,2,0,1,1,False
1,2,4,1,1,False
0,1,4,1,4,False
1,1,2,0,4,False
0,1,2,0,2,False
1,4,1,1,3,False
1,2,3,0,2,False
1,1,4,1,2,False
0,2,3,1,3,False
0,1,4,0,1,False
1,2,3,0,4,False
0,1,3,0,1,False
0,1,0,1,1,False
1,1,0,1,3,False
1,3,1,0,4,False
1,3,3,1,2,False
1,1,4,1,3,False
1,4,0,1,3,False
1,4,3,1,3,False
0,3,2,1,2,False
1,3,0,1,3,True
0,2,2,0,4,False
0,3,2,1,3,False
0,3,1,1,3,False
0,3,4,1,3,False
0,1,0,1,3,False
1,1,1,0,3,False
0,1,0,1,4,False
0,4,1,1,4,False
0,3,2,1,4,False
1,2,0,1,4,False
1,2,3,1,4,False
0,2,4,0,4,False
1,1,3,0,2,False
1,1,0,0,4,False
0,2,4,0,4,False
0,4,0,1,4,False
0,4,2,1,1,False
1,1,4,1,3,False
0,2,2,0,2,False
1,1,1,0,4,False
0,2,4,1,1,False
0,4,0,1,3,False
0,4,1,0,3,False
0,2,3,1,4,False
1,4,1,0,4,False
0,3,1,1,2,False
1,1,2,0,2,False
1,3,4,1,1,False
1,2,3,0,4,False
0,2,2,1,1,False
0,3,2,0,4,False
1,1,0,1,2,False
1,2,1,1,3,False
1,1,4,0,2,False
1,3,2,1,2,False
0,4,4,1,4,False
1,3,4,0,4,False
1,2,4,0,4,False
0,2,0,1,3,False
1,4,4,1,1,False
0,4,2,1,4,False
1,1,3,0,2,False
0,4,0,1,2,False
1,3,4,0,3,False
0,4,3,1,4,False
1,4,3,0,4,False
1,2,3,1,4,False
0,2,4,0,4,False
0,1,0,0,4,False
0,3,2,1,3,False
1,3,0,1,2,False
0,4,0,0,2,False
1,3,3,1,1,False
0,2,0,0,2,False
0,1,4,0,1,False
1,1,4,1,4,False
1,1,4,1,2,False
1,2,0,1,1,False
0,2,3,1,4,False
1,3,4,0,1,False
0,4,4,0,1,False
1,2,1,1,2,True
0,1,4,1,1,False
1,1,3,0,4,False
0,3,3,1,3,False
0,4,1,0,1,False
0,4,3,0,1,False
1,2,2,0,1,False
1,1,4,1,4,False
1,3,0,0,1,False
1,1,3,1,4,False
0,1,2,0,1,False
0,2,3,0,4,False
0,1,2,0,3,False
1,1,0,0,4,False
0,4,1,0,4,False
1,4,3,1,2,False
0,1,0,1,2,False
0,3,1,1,1,False
1,3,1,0,1,False
1,2,2,1,1,False
1,3,3,0,4,False
1,3,3,1,1,False
1,4,4,1,3,False
0,3,3,1,4,False
1,3,4,0,4,False
0,1,0,0,2,False
1,1,0,1,4,False
1,2,1,1,2,True
0,2,0,0,1,False
1,3,1,1,4,False
0,2,2,0,2,False
1,1,3,0,2,False
1,3,2,1,4,False
1,4,0,0,3,False
1,4,0,0,3,False
1,2,1,1,1,False
0,4,3,1,4,False
0,3,4,1,4,False
0,4,0,0,2,False
0,1,3,0,2,False
0,4,2,1,4,False
0,4,1,1,3,False
0,2,4,0,2,False
1,3,1,0,3,False
0,2,4,1,2,False
1,4,2,0,4,False
0,1,1,0,3,False
0,3,4,1,4,False
1,1,0,0,4,False
0,4,1,0,1,False
1,3,1,1,3,True
0,1,3,0,3,False
1,2,0,0,2,False
0,4,0,0,4,False
0,4,0,1,2,False
1,3,2,1,3,True
1,2,0,0,2,False
0,1,2,0,4,False
1,2,0,1,1,False
1,2,4,0,1,False
1,1,2,0,4,False
0,2,2,0,3,False
0,2,0,1,2,False
0,4,0,0,3,False
0,4,4,1,4,False
1,2,2,0,2,False
1,3,2,1,3,True
0,2,2,1,4,False
0,1,3,0,4,False
0,2,4,1,1,False
1,2,3,0,2,False
0,4,0,1,2,False
0,3,3,0,2,False
1,3,4,0,4,False
0,2,2,1,2,False
1,4,3,1,4,True
1,3,0,1,1,False
1,4,0,0,2,False
1,1,4,0,3,False
1,4,1,0,4,False
0,4,1,1,2,False
1,2,2,0,1,False
1,1,1,0,4,False
0,1,1,1,2,False
1,2,3,0,2,False
0,1,1,1,1,False
1,1,2,1,2,False
0,1,3,1,4,False
1,3,3,1,4,False
0,1,1,0,1,False
0,1,1,1,3,False
1,1,0,1,4,False
1,1,2,1,4,False
1,3,0,0,2,False
1,4,4,1,4,True
0,3,2,1,3,False
1,2,3,0,3,False
0,1,1,0,2,False
1,3,3,0,1,False
0,1,4,0,4,False
0,2,1,1,2,False
0,2,2,1,1,False
0,3,3,1,2,False
1,2,3,1,2,True
0,2,1,1,1,False
0,1,0,0,3,False
0,1,2,1,1,False
0,4,3,0,1,False
1,4,2,1,2,False
1,3,2,1,3,True
1,3,4,1,2,False
0,2,4,0,2,False
0,2,0,0,3,False
1,1,1,1,2,False
1,2,0,0,3,False
1,1,1,0,1,False
1,4,0,0,4,False
0,1,2,1,2,False
1,3,2,1,2,False
0,3,2,1,1,False
1,4,2,0,4,False
0,3,0,0,4,False
0,1,4,1,1,False
1,1,1,1,1,True
0,2,0,0,3,False
1,2,0,1,3,False
0,2,1,1,2,False
0,4,3,1,3,False
0,4,0,0,1,False
0,1,1,0,3,False
0,4,3,1,1,False
0,3,3,0,2,False
1,3,1,0,1,False
1,1,3,1,2,False
0,3,1,0,1,False
1,3,1,0,3,False
1,2,2,1,3,False
0,1,4,1,2,False
0,3,1,1,3,False
0,4,1,0,4,False
1,3,1,0,2,False
1,1,3,0,4,False
0,2,0,0,3,False
1,4,2,0,3,False
0,4,1,1,3,False
0,1,3,0,2,False
0,2,2,0,3,False
0,2,0,0,2,False
1,2,3,1,4,False
1,4,1,0,1,False
0,2,0,0,3,False
1,1,1,0,1,False
0,1,3,0,2,False
0,2,2,1,3,False
1,3,2,1,2,False
0,4,1,0,4,False
1,3,0,0,1,False
1,2,0,0,4,False
0,3,3,1,2,False
1,4,0,1,1,False
0,1,0,0,3,False
1,1,1,0,3,False
1,2,1,1,2,True
0,2,1,0,3,False
0,4,1,0,3,False
0,2,1,0,3,False
1,4,1,1,3,False
0,4,3,1,1,False
1,2,0,0,4,False
0,2,1,1,3,False
1,1,1,0,4,False
1,3,0,0,1,False
0,2,3,1,1,False
0,1,1,1,3,False
1,1,0,1,2,False
0,2,0,1,2,False
0,2,2,1,1,False
1,4,2,1,2,False
1,4,3,1,2,False
0,2,3,0,4,False
1,4,2,1,3,False
1,4,0,0,2,False
1,2,3,0,3,False
0,3,1,1,3,False
0,2,2,1,4,False
1,4,4,0,1,False
1,2,3,1,4,False
0,4,2,1,1,False
1,2,4,0,4,False
1,3,4,1,3,True
0,1,4,1,2,False
1,3,2,1,2,False
0,4,3,1,2,False
0,1,4,1,3,False
0,2,2,1,1,False
1,3,3,0,2,False
1,1,3,0,1,False
0,1,2,0,3,False
1,1,4,1,2,False
0,2,2,0,4,False
1,1,3,1,3,False
0,4,0,0,2,False
1,4,0,1,4,True
0,2,0,0,4,False
1,1,4,1,3,False
1,4,1,0,2,False
1,3,1,1,4,False
0,1,3,0,3,False
1,1,1,0,1,False
1,2,4,1,3,False
0,1,4,0,4,False
1,1,4,0,4,False
1,1,0,0,2,False
1,3,3,0,1,False
0,3,0,1,1,False
1,2,0,1,3,False
1,2,4,0,4,False
0,1,1,1,1,False
0,3,3,1,1,False
1,3,0,0,3,False
1,2,2,1,1,False
0,3,0,1,3,False
1,2,1,0,1,False
1,1,4,1,4,False
0,4,3,0,2,False
0,2,1,0,3,False
1,1,3,1,4,False
0,3,2,1,3,False
1,4,3,0,4,False
1,4,0,1,3,False
0,4,0,0,4,False
1,2,3,0,1,False
1,4,1,1,4,True
1,1,1,1,2,False
0,4,4,0,1,False
1,3,3,1,3,True
1,2,0,1,3,False
1,1,4,0,1,False
0,4,0,0,4,False
1,2,4,1,4,False
0,4,1,0,3,False
1,2,3,0,4,False
1,2,0,1,4,False
1,4,0,0,4,False
1,2,3,1,2,True
0,4,3,1,3,False
0,3,1,1,3,False
1,2,4,1,4,False
0,2,4,1,3,False
1,1,1,0,3,False
0,4,4,0,4,False
0,1,4,1,1,False
0,4,0,0,3,False
0,4,1,1,2,False
1,1,3,0,3,False
0,3,1,0,4,False
0,3,3,1,2,False
0,1,3,0,4,False
0,4,0,1,3,False
1,2,4,1,4,False
0,2,0,1,4,False
0,4,4,0,2,False
0,4,0,0,1,False
0,2,0,1,4,False
1,4,3,0,2,False
1,1,3,0,3,False
1,2,2,1,2,True
0,2,3,0,2,False
1,4,3,1,3,False
0,2,4,0,3,False
1,1,1,1,1,True
0,4,3,1,1,False
1,2,4,0,1,False
0,3,3,0,4,False
1,4,2,0,4,False
1,4,4,0,3,False
1,1,3,0,1,False
1,2,2,0,1,False
1,4,2,1,1,False
1,2,0,0,4,False
1,3,2,0,1,False
1,1,3,1,2,False
0,4,0,1,3,False
1,1,3,1,3,False
0,1,2,1,3,False
0,2,0,0,3,False
1,1,2,0,4,False
1,1,0,0,1,False
1,3,2,1,1,False
0,3,1,0,3,False
1,4,1,1,2,False
0,1,4,1,4,False
0,2,4,1,2,False
0,3,3,1,3,False
1,2,4,0,4,False
1,3,4,1,1,False
1,1,0,1,1,True
1,2,0,0,2,False
1,3,0,1,1,False
0,4,1,0,1,False
0,2,3,1,1,False
0,2,3,1,4,False
0,3,3,1,4,False
1,4,3,1,2,False
1,3,3,1,3,True
0,2,4,1,4,False
1,3,4,1,1,False
0,1,3,0,2,False
0,3,1,0,4,False
0,2,0,1,3,False
0,1,2,0,2,False
0,1,1,0,1,False
0,3,1,0,1,False
1,3,3,1,1,False
0,1,4,1,3,False
0,4,3,0,2,False
0,2,4,1,2,False
1,4,2,1,4,True
0,1,4,1,3,False
1,2,4,1,2,True
0,3,3,1,2,False
1,3,3,1,3,True
1,1,4,1,3,False
1,2,3,0,3,False
1,1,3,1,1,True
0,2,0,1,4,False
0,1,4,1,4,False
1,4,3,0,3,False
0,1,3,1,2,False
1,1,3,0,4,False
1,3,2,1,1,False
1,4,3,0,2,False
1,1,4,1,3,False
0,1,3,1,1,False
0,3,3,1,4,False
0,2,3,0,1,False
0,1,3,1,1,False
1,4,4,0,4,False
0,4,4,0,4,False
1,1,0,0,4,False
1,3,0,0,4,False
0,2,3,1,3,False
0,3,4,0,4,False
0,3,1,1,2,False
1,4,0,0,4,False
1,3,4,1,4,False
1,3,0,1,1,False
1,2,4,1,3,False
1,2,1,1,2,True
0,1,2,1,3,False
0,2,4,0,4,False
0,4,0,0,2,False
0,2,3,0,2,False
0,4,3,0,4,False
1,1,4,0,2,False
1,1,0,0,1,False
1,3,1,0,4,False
1,2,4,0,4,False
0,3,0,1,2,False
1,3,3,1,4,False
0,4,1,0,3,False
0,1,3,1,4,False
0,4,1,1,1,False
0,1,4,0,1,False
1,2,1,0,2,False
0,3,0,1,1,False
1,2,0,0,3,False
0,1,0,1,4,False
0,3,1,1,3,False
0,4,0,0,2,False
0,4,0,0,2,False
1,4,0,1,1,False
0,4,4,1,2,False
1,2,2,1,3,False
0,1,3,1,2,False
0,1,1,0,1,False
0,1,1,0,1,False
1,4,1,1,3,False
0,1,3,0,2,False
0,3,1,0,1,False
0,2,4,1,1,False
0,1,3,0,1,False
1,3,0,1,4,False
1,4,0,1,4,True
1,2,1,1,1,False
1,4,4,0,2,False
1,2,0,0,4,False
1,2,2,1,4,False
0,1,3,0,2,False
0,1,2,0,3,False
0,1,0,0,3,False
0,4,0,0,1,False
1,3,1,0,4,False
1,4,3,0,1,False
0,4,4,0,1,False
0,3,2,0,2,False
0,2,2,0,1,False
0,2,1,0,3,False
1,3,2,0,3,False
0,4,2,0,1,False
0,2,2,1,2,False
0,4,0,1,1,False
1,1,3,1,1,True
0,4,4,1,1,False
0,2,3,1,2,False
0,4,4,1,1,False
1,3,4,1,4,False
0,1,4,0,4,False
1,3,2,1,1,False
0,3,1,0,1,False
1,2,1,0,3,False
0,4,1,0,4,False
0,4,4,1,1,False
0,1,4,1,2,False
0,1,0,1,4,False
1,1,3,0,4,False
1,2,2,0,4,False
1,2,4,0,1,False
0,3,1,0,4,False
0,2,1,1,1,False
1,4,3,1,4,True
1,3,2,1,1,False
1,2,4,0,4,False
0,4,2,1,2,False
0,3,4,0,1,False
0,4,4,1,2,False
1,1,1,0,2,False
1,2,2,1,1,False
1,3,2,1,1,False
1,2,0,0,4,False
1,2,4,1,3,False
1,4,3,0,2,False
1,3,3,1,1,False
1,3,2,1,4,False
0,3,1,0,3,False
0,1,2,1,3,False
1,2,4,1,4,False
0,1,1,1,4,False
1,3,4,1,3,True
1,2,0,0,1,False
0,3,3,1,2,False
0,1,2,1,1,False
0,2,0,1,2,False
0,4,2,0,2,False
0,2,0,0,3,False
0,2,1,0,3,False
0,1,1,1,2,False
1,2,4,0,4,False
1,1,0,1,2,False
1,3,2,0,3,False
1,1,0,0,1,False
0,2,2,1,3,False
1,1,1,1,2,False
0,2,0,1,2,False
0,3,1,1,3,False
0,4,0,1,2,False
1,4,0,1,3,False
0,4,4,1,2,False
1,1,2,0,1,False
1,3,3,1,3,True
0,1,4,0,2,False
1,2,2,0,4,False
1,2,0,1,3,False
0,2,0,1,1,False
1,3,1,0,4,False
0,4,2,1,1,False
0,1,2,1,2,False
1,2,2,1,1,False
1,4,0,0,2,False
1,4,1,0,4,False
1,1,1,1,2,False
1,3,3,1,3,True
1,3,2,1,4,False
0,4,4,0,3,False
0,1,1,1,1,False
1,4,0,0,1,False
0,3,1,0,3,False
1,3,3,0,4,False
1,2,4,0,2,False
1,1,4,0,2,False
1,3,4,0,4,False
1,4,1,1,2,False
1,3,0,0,1,False
0,2,2,1,4,False
0,1,2,0,1,False
1,2,1,1,3,False
1,4,0,0,3,False
1,3,4,0,3,False
0,3,4,0,1,False
1,3,2,1,1,False
1,4,4,0,2,False
0,2,4,0,3,False
1,4,4,0,1,False
1,3,1,1,4,False
1,3,3,1,3,True
0,1,0,0,2,False
0,1,2,1,4,False
0,4,3,1,3,False
0,1,2,1,1,False
1,1,1,0,2,False
1,4,2,1,4,True
1,4,0,0,1,False
0,2,4,0,1,False
0,3,3,1,3,False
0,3,4,0,3,False
0,3,2,1,3,False
1,2,4,1,2,True
0,2,4,0,3,False
0,2,3,0,4,False
1,3,1,1,3,True
1,1,1,0,1,False
0,4,1,0,3,False
0,1,3,1,2,False
0,4,3,1,4,False
0,2,3,1,2,False
0,4,1,1,1,False
1,2,2,1,3,False
1,1,3,0,4,False
1,1,1,0,3,False
1,1,1,1,4,False
1,3,1,0,4,False
1,1,4,1,1,True
1,1,4,0,4,False
1,3,0,0,2,False
1,1,0,1,4,False
1,2,4,0,2,False
0,3,0,1,1,False
0,4,2,1,3,False
0,2,0,1,4,False
0,3,1,0,4,False
0,4,0,0,3,False
0,3,0,1,4,False
0,2,3,0,3,False
1,4,3,0,2,False
1,3,1,0,4,False
0,1,0,1,1,False
1,4,0,0,3,False
0,1,1,1,3,False
1,1,3,1,3,False
0,4,4,0,1,False
0,3,4,0,3,False
0,4,3,0,4,False
0,1,4,0,1,False
0,4,3,0,3,False
0,3,1,1,4,False
1,4,2,0,1,False
1,2,0,0,2,False
0,4,0,0,3,False
0,1,2,1,2,False
1,3,1,1,1,False
0,3,1,0,1,False
1,4,4,0,2,False
0,4,1,1,2,False
1,2,0,0,3,False
0,3,0,0,2,False
0,3,4,1,3,False
0,2,3,0,1,False
1,1,3,0,4,False
0,1,4,0,2,False
0,1,4,1,1,False
0,1,3,0,1,False
0,3,1,1,2,False
1,1,0,1,2,False
0,1,2,1,4,False
0,4,1,1,2,False
1,1,3,1,1,True
1,3,0,0,3,False
1,2,4,1,1,False
1,2,2,0,2,False
0,4,4,1,2,False
0,2,2,0,1,False
0,4,1,0,2,False
1,4,3,0,2,False
0,3,1,0,4,False
1,4,4,1,1,False
1,1,2,1,2,False
0,1,4,1,2,False
0,3,2,0,2,False
1,4,0,0,2,False
0,1,2,1,2,False
0,3,1,0,4,False
1,2,3,0,4,False
1,3,0,1,3,True
0,2,1,1,1,False
1,1,3,0,1,False
0,4,2,1,4,False
0,1,1,1,4,False
0,1,0,0,4,False
1,3,2,1,4,False
0,2,2,1,2,False
0,4,2,0,3,False
1,2,1,1,4,False
1,1,1,0,3,False
0,3,3,1,3,False
0,2,1,1,1,False
0,4,0,1,3,False
1,1,4,0,2,False
0,2,4,0,1,False
0,3,1,0,2,False
1,4,3,0,2,False
0,3,3,0,4,False
1,1,1,0,1,False
0,3,1,0,3,False
0,4,0,1,1,False
1,1,3,0,1,False
1,2,2,0,3,False
1,4,0,0,4,False
1,1,1,0,3,False
0,3,0,0,3,False
0,3,0,1,3,False
1,2,3,0,4,False
1,3,2,0,3,False
0,4,0,0,3,False
1,3,2,1,1,False
0,1,3,1,4,False
0,4,4,0,2,False
1,2,3,1,1,False
1,1,4,0,4,False
0,3,0,1,3,False
1,3,4,0,2,False
0,2,1,1,3,False
1,2,1,1,3,False
0,1,3,0,2,False
1,2,3,0,2,False
0,2,0,0,2,False
0,2,1,0,3,False
1,2,0,0,2,False
0,2,3,0,1,False
0,4,2,0,3,False
1,3,3,0,1,False
0,1,3,0,4,False
0,4,4,1,4,False
1,3,2,1,2,False
0,3,1,1,3,False
0,3,0,0,2,False
0,4,1,0,1,False
1,2,4,0,1,False
1,3,4,0,1,False
0,1,4,1,3,False
0,4,3,1,1,False
0,1,1,1,1,False
1,4,0,1,3,False
1,4,4,1,2,False
1,2,1,0,4,False
1,4,0,1,3,False
0,3,3,0,3,False
1,2,4,0,4,False
0,2,2,1,1,False
1,2,3,1,3,False
1,3,3,0,4,False
0,2,1,1,2,False
0,2,3,0,4,False
0,2,1,0,1,False
0,1,2,1,2,False
0,1,0,1,2,False
0,2,2,0,4,False
0,1,3,1,4,False
1,3,4,0,2,False
1,4,4,0,1,False
0,1,0,0,2,False
1,3,2,0,4,False
0,4,3,0,2,False
0,4,4,1,1,False
1,4,1,0,1,False
0,4,0,1,1,False
0,1,1,0,4,False
0,3,3,0,3,False
0,4,0,1,4,False
1,3,2,1,1,False
1,1,2,1,2,False
0,1,4,0,1,False
0,2,0,1,2,False
0,2,0,1,1,False
0,2,3,0,4,False
0,1,4,1,4,False
1,4,0,0,4,False
1,2,2,1,3,False
1,3,0,1,4,False
0,4,0,1,1,False
1,4,4,0,2,False
0,1,0,0,4,False
0,3,3,1,3,False
1,1,4,1,1,True
0,2,2,0,4,False
0,2,4,1,3,False
1,1,3,1,2,False
0,3,0,1,4,False
1,3,1,0,1,False
1,4,4,0,4,False
1,4,4,1,3,False
0,4,0,0,3,False
1,3,2,0,3,False
1,3,0,0,3,False
1,2,3,1,1,False
1,4,2,0,4,False
0,2,2,1,2,False
0,1,3,0,2,False
0,3,2,1,3,False
0,1,4,1,1,False
1,2,2,0,3,False
0,2,2,1,2,False
1,4,3,1,3,False
0,3,0,1,2,False
1,4,3,1,1,False
1,3,1,1,2,False
1,2,1,0,3,False
1,4,3,0,4,False
1,2,2,1,2,True
0,2,4,0,4,False
0,1,0,0,2,False
0,1,3,1,3,False
1,3,0,0,2,False
0,1,3,0,3,False
0,4,0,0,2,False
