,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
49,-1.2435241,-0.14083555,0.40466827,-0.85697085,1.1349844,-1.074550486788359,-0.35615567808016024,0.27213377,0.6198176,0.40996206,-1.1096047,5,1
50,1.2526845,2.0698152,-0.396505,-0.79321355,1.1349844,-1.5374373525654108,-1.6653578470016435,0.85092026,-0.43800092,1.6041981,-1.1096047,5,1
51,-0.46345899,1.1855546,-1.9988513,-0.6869514,0.88387704,-1.305993919676885,-1.8088320572944088,0.34021792,1.117616,0.7831608,-0.94204444,6,1
52,-0.46345899,1.0592319,-1.9988513,-0.70820385,0.83365583,-1.4217156361211478,-1.8267663335810045,0.306186,1.0553914,0.8578005,-0.94204444,6,1
53,1.0966716,0.3012945,0.3318344,-0.5169319,1.4865345,-0.03305503878999308,0.056332676511539954,0.816868,-0.12687781,0.26068273,-0.94204444,5,1
55,0.39461255,1.8171692,-1.9988513,-0.34691244,1.6371987,-0.3223593299006503,-1.270803768696539,1.0892453,0.74426687,0.03676328,-0.85826385,5,1
56,2.3447752,0.55394024,1.8613466,-0.43192214,0.9340986,-1.5374373525654108,-1.8985034387273871,0.85092026,-1.1224732,0.7831608,-0.77448326,5,1
57,0.23859967,1.8803306,-1.4161798,-0.070630796,2.993178,1.124162125652636,-0.10507581006782099,1.2594862,0.24646991,1.828117,-0.94204444,5,1
58,0.47261935,1.6276847,-0.9791763,-0.66569895,1.2354271,-0.7852461956777019,-1.109395282117178,0.9871089,1.3042899,0.4846017,-0.4393626,5,1
59,0.0825868,0.36445588,-0.032335293,-0.6444465,1.1349844,-1.2481330614547534,-1.2528694924099433,0.544511,1.1798407,0.11140339,-0.94204444,6,1
60,1.2526845,0.42761746,0.62317,-0.6869514,1.3860917,-0.669524479233439,-1.1452638346903692,1.1573497,1.3665146,0.8578005,-1.1096047,5,1
61,0.39461255,2.2592993,1.2786754,-0.77196115,3.194064,-0.6116636210113076,-0.06920725749462966,0.7487838,-0.064653195,1.3802786,-1.0258242,5,1
62,0.23859967,1.1855546,-1.1248442,-0.75070864,1.6874202,-1.074550486788359,-1.4501465315624955,0.7487838,0.99316686,0.7085212,-0.85826385,7,1
63,-0.15143289,2.543526,-1.9260173,-0.72945625,1.4865345,-1.0166896285662277,-1.109395282117178,0.6806794,1.0553914,0.33532238,-0.6069229,5,1
64,0.004579993,2.4803646,-1.9260173,-0.16626671,1.7376418,-1.5374373525654108,-1.8805691624407914,0.544511,1.1798407,-1.0081929,0.31465933,5,1
65,0.004579993,2.4803646,-1.9260173,-0.16626671,1.7376418,-1.5374373525654108,-1.8805691624407914,0.544511,1.1798407,-1.0081929,0.31465933,5,1
66,0.23859967,1.1855546,-1.4890138,-0.83571845,1.3860917,-1.1324113450104907,-1.3784094264161129,0.7487838,1.2420653,0.40996206,-0.77448326,5,1
67,-0.46345899,2.3540413,-1.7803495,-0.814466,1.2354271,-1.4217156361211478,-1.8088320572944088,0.544511,1.3665146,0.40996206,0.14709899,5,1
68,1.642717,-0.07767417,1.8613466,-0.72945625,1.1349844,-0.20663761345638743,-0.9121182429646257,0.7828361,0.37091917,1.9773968,0.14709899,5,1
69,0.62863225,2.3540413,-1.9260173,-0.75070864,1.1349844,-1.305993919676885,-1.7370949521480261,0.544511,0.74426687,3.1716323,-0.020461353,6,1
70,0.39461255,1.8803306,-1.7075156,-0.75070864,1.2354271,-0.9009679121219648,-1.5936207418552608,0.71473163,0.6198176,0.11140339,-0.85826385,6,1
71,0.39461255,2.1329765,-0.6150067,-0.70820385,1.8380846,-0.7852461956777019,-0.35615567808016024,0.544511,0.6198176,-0.3364353,-0.85826385,5,1
72,0.39461255,2.2592993,-0.68784064,-0.75070864,1.6371987,-0.7273853374555704,-0.39202423065335157,0.5104588,0.55759305,-0.3364353,-0.85826385,5,1
73,0.8626519,2.1645572,-0.396505,-0.70820385,1.6371987,-1.1324113450104907,-1.3066723212697302,1.0211611,0.55759305,0.03676328,-1.1096047,4,1
74,1.9547428,-0.07767417,1.642845,-0.6231941,2.139413,-0.148776755234256,-0.5893012698059038,1.2935181,0.37091917,2.2013159,-0.77448326,5,1
75,1.2526845,0.49077883,2.371184,-0.6869514,2.089192,-1.2481330614547534,-1.324606597556326,1.3616226,1.9887608,1.0070803,-0.020461353,5,1
76,1.2526845,0.49077883,2.371184,-0.6869514,2.089192,-1.2481330614547534,-1.324606597556326,1.3616226,1.9887608,1.0070803,-0.020461353,5,1
77,-0.30744576,2.8593333,-2.290187,-0.6444465,2.6416278,-0.9588287703440963,-1.5398179129954739,0.6806794,1.8643116,0.18604305,0.14709899,6,1
78,-0.38545257,2.638268,-1.4161798,-0.72945625,1.7376418,-1.074550486788359,-0.6431040986656908,0.4083224,0.99316686,-0.037876386,-0.35558203,5,1
79,0.8626519,1.8487499,-0.83350843,-0.83571845,1.4363129,-0.20663761345638743,0.056332676511539954,0.8849725,-0.3757763,4.440508,-1.1933845,4,1
80,-0.7754851,0.7434246,-0.83350843,-0.814466,0.88387704,-1.5952982107875422,-1.8088320572944088,0.4083224,1.1798407,0.26068273,-1.1096047,5,1
82,0.16059324,1.0592319,1.1330074,-0.72945625,1.7376418,-0.5538027627891762,-0.7686440326718604,0.816868,0.8687161,0.33532238,-1.1933845,5,1
84,-0.6974783,-0.20399694,1.2058413,-0.77196115,0.88387704,-0.7273853374555704,-0.9838553481110084,0.44235432,1.3665146,1.9027567,-0.18802169,6,1
85,-0.22943932,1.3750392,-1.1976781,-0.6869514,1.2354271,-0.669524479233439,-1.3604751501295171,0.5104588,1.1798407,0.4846017,-0.35558203,5,1
87,0.39461255,0.9960705,-0.396505,-0.75070864,0.53232694,-1.2481330614547534,-1.5218836367088782,0.6806794,1.0553914,0.8578005,-0.77448326,5,1
88,1.642717,0.36445588,0.91450566,-0.70820385,2.792292,0.19838839409853273,0.16393833423111392,1.0892453,-0.50022554,5.1869054,-0.85826385,5,1
89,-0.15143289,1.8171692,-1.7075156,-0.77196115,1.2354271,-1.305993919676885,-1.6474235707150477,1.0892453,1.6154131,0.03676328,-1.277165,5,1
90,0.5506258,1.1855546,-0.396505,-0.75070864,1.3860917,0.6612752598755843,0.4329524785300488,0.6125952,0.059796046,0.11140339,-0.85826385,5,1
93,0.39461255,0.9960705,-0.396505,-0.75070864,0.53232694,-1.2481330614547534,-1.5218836367088782,0.6806794,1.0553914,0.8578005,-0.77448326,5,1
94,-1.7115631,4.343627,-1.9988513,-0.85697085,-0.32143748,0.6034144016534528,-0.5534327172327125,-0.2726208,3.2954793,-0.3364353,-0.020461353,4,1
95,-1.9455827,1.6908464,-1.0520102,-0.66569895,0.33144113,-0.7852461956777019,-0.17681291521420364,-0.4768936,3.9177256,0.55924183,1.9902643,6,1
96,-0.30744576,2.7961714,-2.290187,-0.5169319,2.5411847,-1.305993919676885,-1.6653578470016435,0.64664745,1.4287392,0.26068273,0.14709899,5,1
97,-0.15143289,1.0592319,-0.46933886,-0.72945625,0.9340986,-1.5952982107875422,-1.6832921232882392,0.57854295,0.18424529,0.7831608,-1.1096047,5,1
98,0.3166061,3.5856898,-1.8531834,-0.6231941,1.3860917,-1.4795764943432792,-1.8985034387273871,0.71473163,1.0553914,0.26068273,-0.6069229,5,1
99,0.70663905,1.3434584,-0.9791763,-0.75070864,1.4363129,-1.0166896285662277,-1.4501465315624955,0.8849725,0.4953684,0.4846017,-1.277165,6,1
100,0.8626519,1.7540078,-0.10516915,-0.70820385,1.6371987,-1.1324113450104907,-1.1811323872635606,0.8849725,1.117616,0.6338815,-0.27180225,6,1
101,0.47261935,1.0592319,-0.10516915,-0.75070864,1.1852059,-1.305993919676885,-1.6832921232882392,0.44235432,0.55759305,0.26068273,-0.10424192,6,1
102,0.70663905,1.3434584,-0.9791763,-0.75070864,1.4363129,-1.0166896285662277,-1.4501465315624955,0.8849725,0.4953684,0.4846017,-1.277165,6,1
103,0.70663905,1.5329427,-0.68784064,-0.70820385,1.2856487,-1.074550486788359,-0.9121182429646257,0.71473163,0.43314376,-0.11251605,-1.1096047,5,1
104,0.004579993,0.9960705,-0.5421728,-0.6869514,0.9340986,-1.4795764943432792,-1.4322122552758998,0.47640657,0.68204224,-0.3364353,-0.94204444,5,1
105,0.70663905,1.5329427,-0.68784064,-0.70820385,1.2856487,-1.074550486788359,-0.9121182429646257,0.71473163,0.43314376,-0.11251605,-1.1096047,5,1
107,-0.7754851,1.8803306,-0.032335293,-0.79321355,1.8380846,-0.9009679121219648,-0.9300525192512213,0.7828361,1.4909638,1.9773968,-1.0258242,5,1
108,0.62863225,-0.014512601,1.5700108,-0.6231941,1.9887488,-0.7273853374555704,-0.6431040986656908,1.0211611,0.93094075,2.0520365,-0.77448326,6,1
109,0.70663905,2.8593333,1.497177,-0.72945625,3.545614,0.3719709687649271,0.6660980702557924,0.7828361,-0.064653195,1.2309992,-1.0258242,5,1
110,0.47261935,1.4382006,-0.9063424,-0.77196115,2.6416278,-1.074550486788359,-1.2349352161233476,0.6125952,-0.18910244,3.022353,-0.85826385,5,1
111,0.940658,1.8171692,-1.6346816,-0.6869514,1.6371987,-1.1324113450104907,-0.14094436264101232,0.6125952,-0.43800092,1.0070803,-0.6069229,5,1
112,0.940658,1.6908464,-1.5618478,-0.6869514,1.6874202,-0.9588287703440963,-0.08714153378122533,0.6125952,-0.43800092,1.0070803,-0.6069229,5,1
113,2.2667692,-0.14083555,0.91450566,-0.66569895,1.4363129,-0.4959419045670447,-1.2528694924099433,1.4297067,0.6198176,1.08172,-0.6907035,6,1
114,0.47261935,1.4382006,-0.9063424,-0.77196115,2.6416278,-1.074550486788359,-1.2349352161233476,0.6125952,-0.18910244,3.022353,-0.85826385,5,1
115,1.720723,0.42761746,-0.032335293,-0.6869514,1.9385276,-1.0166896285662277,-0.9659210718244127,0.6806794,-0.93579936,0.7831608,-0.020461353,6,1
116,0.8626519,1.3118777,-0.25083706,-0.75070864,1.2856487,-1.1324113450104907,-1.3604751501295171,1.0892453,1.0553914,0.6338815,-0.4393626,6,1
117,0.47261935,1.4382006,-1.4161798,-0.72945625,1.536756,-1.3638547778990164,-1.575686465568665,0.816868,0.93094075,-0.18715572,-0.94204444,6,1
118,1.2526845,1.3750392,-1.9988513,-0.6869514,3.3949492,-0.9588287703440963,-1.0735267295439868,0.544511,-0.064653195,0.55924183,0.31465933,6,1
119,-0.15143289,2.2592993,-1.7075156,-0.77196115,2.2900777,-0.4959419045670447,-0.4816956120863299,0.44235432,0.74426687,0.11140339,-1.1096047,6,1
121,1.2526845,1.3750392,-1.9988513,-0.6869514,3.3949492,-0.9588287703440963,-1.0735267295439868,0.544511,-0.064653195,0.55924183,0.31465933,6,1
122,0.0825868,2.29088,-2.290187,-0.6231941,1.1852059,-1.5952982107875422,-1.8447006098676,1.1573497,1.6776377,-0.037876386,-1.1096047,5,1
123,0.62863225,2.385622,-2.290187,-0.60194165,1.4363129,-1.1324113450104907,-1.4680808078490912,1.0211611,1.3665146,0.03676328,-0.85826385,5,1
124,0.47261935,1.0592319,-1.0520102,-0.814466,1.536756,-0.5538027627891762,-0.24855002036058627,0.47640657,1.0553914,-0.3364353,-0.85826385,5,1
125,1.4086974,1.8171692,-1.9988513,-0.75070864,4.750928,-0.20663761345638743,-0.4637613357997342,1.2935181,-0.3757763,1.3056389,-0.94204444,5,1
126,0.7846451,6.3016324,-2.290187,-0.79321355,1.4865345,-1.5952982107875422,-1.8626348861541957,0.6125952,1.9265362,-0.26179537,0.31465933,5,1
127,0.70663905,6.3016324,-2.290187,-0.77196115,1.536756,-1.5952982107875422,-1.8626348861541957,0.6125952,1.9887608,-0.3364353,0.31465933,5,1
128,0.62863225,1.6276847,-1.1248442,-0.77196115,0.6829912,-1.5952982107875422,-1.790897781007813,0.544511,1.2420653,2.9477134,-0.020461353,7,1
129,-0.85349154,0.3012945,-1.1976781,-0.77196115,1.0345412,-1.4217156361211478,-1.7370949521480261,0.306186,1.2420653,0.33532238,-0.94204444,5,1
130,0.62863225,2.6066873,1.7885128,-0.72945625,3.3447278,-0.03305503878999308,0.3253468208104749,0.7487838,0.12202067,1.0070803,-0.94204444,5,1
131,-1.2435241,1.0592319,-1.6346816,-0.66569895,-0.12055184,-0.7852461956777019,-0.30235284922037325,-0.30665272,2.5487838,0.7831608,2.074045,5,1
132,-1.2435241,1.0592319,-1.6346816,-0.66569895,-0.12055184,-0.7852461956777019,-0.30235284922037325,-0.30665272,2.5487838,0.7831608,2.074045,5,1
133,-0.46345899,1.0592319,-2.217353,-0.83571845,0.43188405,-0.7852461956777019,-1.6115550181418565,0.20402929,1.117616,0.40996206,-0.6069229,6,1
134,0.5506258,4.4699497,-1.9260173,-0.6869514,1.6371987,-1.0166896285662277,-1.5577521892820694,0.44235432,-0.0024285747,0.18604305,-0.5231432,6,1
135,0.940658,2.6066873,-1.4890138,-0.75070864,1.9385276,-0.8431070538998333,-0.9479867955378171,0.64664745,-0.18910244,2.2013159,-0.77448326,5,1
136,0.8626519,2.4172027,-1.1976781,-0.77196115,1.8883061,-1.190272203232622,-1.1452638346903692,0.7487838,0.059796046,1.828117,-0.85826385,5,1
137,0.004579993,0.52235955,0.3318344,-0.72945625,1.4865345,-1.0166896285662277,-1.270803768696539,0.8849725,1.6154131,0.8578005,-1.1096047,5,1
138,0.47261935,1.4382006,-0.9063424,-0.70820385,1.4865345,-0.9009679121219648,-0.19474719150079928,0.544511,0.68204224,0.11140339,-0.85826385,5,1
139,0.47261935,1.4382006,-0.9063424,-0.72945625,1.4865345,-0.7852461956777019,-0.14094436264101232,0.544511,0.6198176,0.11140339,-0.85826385,5,1
140,0.940658,2.6066873,-1.4890138,-0.75070864,1.9385276,-0.8431070538998333,-0.9479867955378171,0.64664745,-0.18910244,2.2013159,-0.77448326,5,1
141,0.8626519,2.4172027,-1.1976781,-0.77196115,1.8883061,-1.190272203232622,-1.1452638346903692,0.7487838,0.059796046,1.828117,-0.85826385,5,1
142,-1.5555502,0.048648782,-2.290187,-0.77196115,-0.0703303,-0.20663761345638743,-0.9479867955378171,-1.0216482,2.859907,1.9773968,2.9118474,6,1
143,-0.6974783,0.36445588,-1.7075156,-0.79321355,0.73321277,-1.5952982107875422,-1.7191606758614304,0.27213377,0.74426687,0.40996206,-0.94204444,5,1
144,-1.5555502,0.048648782,-2.290187,-0.77196115,-0.0703303,-0.20663761345638743,-0.9479867955378171,-1.0216482,2.859907,1.9773968,2.9118474,6,1
145,0.70663905,2.1329765,1.7156789,-0.77196115,3.2945063,0.08266667765426983,0.4508867548166445,0.7487838,-0.3135517,0.7085212,-0.94204444,5,1
146,-1.0875108,2.196138,-2.144519,-0.77196115,1.787863,-0.5538027627891762,-0.39202423065335157,-0.068327695,1.9887608,-0.037876386,-0.4393626,5,1
148,-0.22943932,0.9960705,-1.5618478,-0.66569895,1.1349844,-1.074550486788359,-1.5398179129954739,0.44235432,1.2420653,0.40996206,-0.27180225,6,1
149,0.7846451,0.42761746,0.91450566,-0.5594368,1.8883061,-1.1324113450104907,-1.3066723212697302,0.9871089,1.9265362,0.6338815,-0.020461353,6,1
150,0.0825868,-0.014512601,1.1330074,-0.70820385,1.2856487,-1.4795764943432792,-1.8805691624407914,0.4083224,0.68204224,0.03676328,-0.18802169,6,1
152,0.23859967,1.6908464,-2.071685,-0.77196115,2.1896346,-0.3223593299006503,-0.30235284922037325,0.13594511,0.8064915,0.11140339,-0.35558203,5,1
153,0.23859967,1.6908464,-2.071685,-0.77196115,2.1896346,-0.3223593299006503,-0.30235284922037325,0.13594511,0.8064915,0.11140339,-0.35558203,5,1
158,-0.07342644,2.196138,-2.290187,-0.6869514,1.0847628,-1.074550486788359,-1.6832921232882392,0.7828361,1.6154131,-0.18715572,-1.0258242,5,1
159,-0.30744576,1.6908464,-0.9791763,-0.75070864,1.3860917,-0.7273853374555704,-0.5354984409461169,0.7487838,2.2998838,0.33532238,-1.0258242,6,1
160,0.3166061,3.9014966,-2.071685,-0.72945625,1.9385276,-1.3638547778990164,-1.7191606758614304,0.44235432,-0.12687781,0.26068273,-0.77448326,5,1
161,0.3166061,2.196138,-2.144519,-0.87822336,1.0345412,-1.2481330614547534,-1.7191606758614304,0.64664745,-0.3135517,4.141949,-1.1096047,4,1
162,0.47261935,1.248716,-1.9988513,-0.79321355,1.2354271,-0.7852461956777019,-1.5218836367088782,0.6125952,0.68204224,0.26068273,-0.4393626,6,1
165,0.47261935,1.8803306,1.2058413,-0.79321355,2.440742,-0.9588287703440963,-0.35615567808016024,0.5104588,-0.18910244,0.7085212,-0.85826385,5,1
166,-0.30744576,1.943492,-1.5618478,-0.70820385,1.6874202,-0.7273853374555704,-0.26648429664718193,0.34021792,0.74426687,-0.037876386,-0.27180225,5,1
167,0.0825868,1.3750392,-2.071685,-0.814466,1.0345412,-0.7852461956777019,-1.324606597556326,0.34021792,0.93094075,-0.3364353,-1.277165,4,1
168,-0.30744576,1.8803306,-1.7803495,-0.70820385,1.8883061,-1.1324113450104907,-1.2887380449831345,0.23808153,1.5531884,0.18604305,-0.10424192,6,1
170,0.5506258,3.4909475,-2.071685,-0.77196115,0.33144113,-1.5374373525654108,-1.9343719913005784,0.8849725,0.8687161,-1.4560312,-1.1933845,4,1
171,0.62863225,0.55394024,-1.0520102,-0.72945625,1.0847628,-1.4217156361211478,-1.7550292284346218,0.8849725,0.43314376,0.6338815,-1.1096047,6,1
172,0.62863225,0.55394024,-1.0520102,-0.72945625,1.0847628,-1.4217156361211478,-1.7550292284346218,0.8849725,0.43314376,0.6338815,-1.1096047,6,1
173,0.16059324,1.8171692,-1.9260173,-0.75070864,0.83365583,-0.38022018812278174,-1.324606597556326,0.5104588,1.2420653,0.33532238,0.81734115,6,1
174,0.0825868,0.3012945,-0.7606746,-0.72945625,1.4363129,-1.3638547778990164,-1.4501465315624955,0.5104588,0.68204224,-0.41107494,-0.85826385,5,1
175,-0.22943932,1.0592319,-1.9988513,-0.83571845,1.6874202,-0.669524479233439,-1.1990666635501563,0.4083224,0.8064915,1.9027567,-0.85826385,5,1
176,0.0825868,0.3012945,-0.7606746,-0.72945625,1.4363129,-1.3638547778990164,-1.4501465315624955,0.5104588,0.68204224,-0.41107494,-0.85826385,5,1
177,0.23859967,1.1855546,0.76883775,-0.66569895,1.787863,-1.305993919676885,-1.3963437027027086,0.8849725,2.2376592,0.6338815,-0.020461353,6,1
179,1.2526845,1.7540078,-1.270512,-0.6444465,0.78343433,-1.190272203232622,-1.324606597556326,0.7828361,-0.18910244,0.4846017,-0.85826385,5,1
180,1.2526845,1.7540078,-1.270512,-0.6444465,0.78343433,-1.190272203232622,-1.324606597556326,0.7828361,-0.18910244,0.4846017,-0.85826385,5,1
182,0.004579993,2.5119452,-2.144519,-0.6231941,1.2354271,-0.8431070538998333,-1.324606597556326,0.8849725,1.3665146,-0.037876386,-1.0258242,5,1
183,-0.30744576,1.7540078,-0.83350843,-0.77196115,1.2856487,-1.1324113450104907,-0.9121182429646257,0.85092026,1.9887608,0.40996206,-1.0258242,5,1
184,-0.38545257,1.8171692,-0.7606746,-0.75070864,1.3860917,-1.305993919676885,-0.9659210718244127,0.816868,1.8643116,0.40996206,-1.0258242,6,1
185,1.3306905,-0.14083555,1.8613466,-0.72945625,2.993178,-0.26449847167851886,-0.5534327172327125,0.85092026,0.24646991,0.03676328,-0.6907035,5,1
186,0.16059324,0.36445588,1.2058413,-0.72945625,1.536756,-0.9588287703440963,-0.8762496903914344,0.8849725,0.74426687,0.18604305,-1.1096047,5,1
187,0.39461255,2.3540413,-1.5618478,-0.60194165,1.6371987,-1.2481330614547534,-1.6115550181418565,1.0211611,1.0553914,-0.26179537,-0.6907035,5,1
188,0.5506258,1.0592319,0.11333263,-0.72945625,1.6371987,-0.9009679121219648,0.4867553073898358,0.7487838,-0.12687781,0.18604305,-0.85826385,5,1
189,0.5506258,0.9960705,0.040498562,-0.75070864,1.536756,-0.7852461956777019,0.5046895836764315,0.7487838,-0.12687781,0.18604305,-0.85826385,5,1
190,0.7846451,1.0592319,0.25900033,-0.53818434,1.2856487,-0.5538027627891762,0.19980688680430525,1.0211611,0.059796046,0.7085212,-0.94204444,5,1
191,-0.61947185,0.23813312,-0.46933886,-0.75070864,1.1349844,-0.5538027627891762,-1.1990666635501563,0.95305663,2.1754346,0.7085212,-0.6069229,6,1
192,-0.30744576,1.8803306,-1.4161798,-0.34691244,2.3905203,-0.8431070538998333,0.1818726105177096,0.7828361,0.37091917,0.6338815,-0.85826385,5,1
193,0.3166061,1.3750392,-0.7606746,-0.6869514,0.9843201,-1.3638547778990164,-1.575686465568665,0.6125952,0.37091917,0.18604305,-0.6907035,5,1
197,3.35886,-0.20399694,2.0798485,-0.72945625,0.78343433,-1.074550486788359,-1.5936207418552608,1.1913817,-0.6869009,3.3209121,-0.35558203,6,1
198,-1.399537,3.17514,-1.7075156,-0.8994757,-0.2712161,-1.0166896285662277,-0.40995850693994723,-0.7492709,2.1754346,2.4252353,2.074045,7,1
199,-0.22943932,4.7857575,-1.8531834,-0.70820385,0.48210558,-1.074550486788359,-1.5218836367088782,0.06784065,1.802087,-0.7096338,0.73356056,4,1
200,1.8767366,-0.07767417,1.1330074,-0.85697085,0.23099843,-1.2481330614547534,-1.6474235707150477,0.7998419,-0.0024285747,2.2013159,-0.18802169,7,1
201,1.2526845,0.23813312,1.2058413,-0.70820385,2.2900777,0.48769268520918996,0.5226238599630272,0.9871089,-1.1224732,3.7687502,-1.0258242,5,1
202,-0.30744576,1.0592319,-1.4890138,-0.83571845,1.1852059,-0.8431070538998333,-1.1990666635501563,0.28915986,0.8687161,1.9773968,-0.85826385,5,1
203,-0.15143289,0.55394024,0.25900033,-0.814466,1.8380846,-0.8431070538998333,-1.3784094264161129,0.5104588,0.74426687,0.18604305,-1.1096047,5,1
204,-0.15143289,0.6171018,0.3318344,-0.814466,1.8883061,-0.9588287703440963,-1.4142779789893043,0.5274849,0.74426687,0.26068273,-1.1096047,6,1
205,4.372945,-0.20399694,3.0995235,-0.60194165,2.1896346,-1.2481330614547534,-1.575686465568665,1.6339998,-0.12687781,1.828117,0.23087956,7,1
